œ– √(2), ÏŒÏ	¡œ– √(2), ŒÏ	œ– √(4), ÏŒÏ	¡œ– √(4), ŒÏ	œ– √(5), ÏŒÏ	¡œ– √(5), ŒÏ	œ– √(7), ÏŒÏ	¡œ– √(7), ŒÏ	œ– √(8), ÏŒÏ	¡œ– √(8), ŒÏ	œ– √(10), ÏŒÏ	¡œ– √(10), ŒÏ	œ– √(13), ÏŒÏ	¡œ– √(13), ŒÏ	œ– √(14), ÏŒÏ	¡œ– √(14), ŒÏ	› √(16), ÏÍ¬	“– √(32), ÏŒÏ	
-17.200	64.183	-9.200	8.745	3.600	12.508	-28.000	94.446	-10.000	82.945	-2.000	72.769	-2.400	25.705	-9.200	108.332	129.857	-1.200	
-16.800	64.183	-9.200	8.692	3.200	12.508	-28.400	94.393	-9.200	82.945	-2.400	72.769	-3.600	25.705	-9.600	108.332	116.871	-1.200	
-16.800	64.183	-9.200	8.692	3.200	12.508	-29.200	94.446	-8.400	82.945	-2.800	72.769	-4.800	25.705	-10.400	108.332	109.451	-1.600	
-16.400	64.183	-9.200	8.745	3.200	12.508	-29.600	94.446	-8.000	82.945	-2.800	72.769	-5.600	25.705	-10.800	108.332	122.437	-1.600	
-16.400	64.183	-8.800	8.745	4.000	12.561	-30.000	94.446	-8.400	82.945	-3.200	72.769	-6.800	25.705	-11.200	108.385	131.712	-2.000	
-16.000	64.183	-8.800	8.745	4.000	12.614	-30.400	94.446	-8.800	82.945	-3.200	72.769	-8.400	25.705	-11.600	108.385	129.857	-2.400	
-15.600	64.183	-8.800	8.745	3.200	12.667	-30.400	94.446	-8.800	82.945	-3.200	72.769	-9.600	25.705	-11.600	108.385	131.712	-2.800	
-15.600	64.183	-8.800	8.745	2.400	12.667	-30.800	94.446	-8.400	82.945	-2.800	72.769	-9.600	25.705	-11.200	108.332	124.292	-3.200	
-15.200	64.183	-8.800	8.745	3.200	12.614	-30.800	94.393	-8.400	82.945	-2.800	72.769	-9.600	25.705	-10.800	108.385	102.031	-3.600	
-15.200	64.183	-8.400	8.745	4.000	12.561	-30.800	94.446	-8.800	82.945	-2.400	72.769	-9.200	25.705	-10.400	108.385	89.045	-3.600	
